Nr.,Ejer,Nord,Øst,Stednavn
1,HAVSU,56 38.315,09 50.875,Skovsgårdhage vest
2,HAVSU,56 38.655,09 51.733,Skovsgårdhage øst
3,HAVSU,56 38.706,09 52.931,Højspænding
4,HAVSU,56 39.024,09 53.348,Gamle bro
5,HAVSU,56 39.227,09 55.532,Paradisbugt vest
6,HAVSU,56 39.267,09 55.789,Paradisbugt øst
7,HAVSU,56 39.538,09 56.818,Langsodde vest
8,HAVSU,56 38.929,09 56.737,Marsilleborg
9,HAVSU,56 40.822,09 59.998,Flintevig øst
10,HAVSU,56 42.006,10 03.904,Mads's hus
11,HAVSU,56 41.129,10 00.925,Ouegårds Mølle vest
12,HAVSU,56 39.821,09 57.330,Høllet
13,HAVSU,56 39.353,09 56.327,Låenhusbugten
14,HAVSU,56 39.107,09 57.699,Mariager vest
15,HAVSU,56 39.646,09 59.213,Mariager øst
16,HAVSU,56 40.294,10 01.166,Vest for Fladbjerg
17,DS,56 41.096,10 05.042,Bettefjord
18,DS,56 42.645,10 14.335,Treskelbakke
19,DS,56 42.210,10 18.980,Pladen - Als Odde N
20,DS,56 42.170,10 19.020,Pladen - Als Odde S
21,TS,56 41.694,10 04.330,Nybro Hage
22,TS,56 40.642,09 59.209,Flintevig vest
23,TS,56 41.584,10 01.835,Ouegård Mølle øst
24,TS,56 38.303,09 50.297,Ørnedalsburgt
